5,-28,40,0.5,60,60,0.001,1000,10,20e5,50,1,1
5,-28,40,0.5,60,60,0.001,1000,10,20e5,50,1,2
5,-28,40,0.5,60,60,0.001,1000,10,20e5,50,1,3
5,-28,40,0.5,60,60,0.001,1000,10,20e5,50,1,4
5,-28,40,0.5,60,60,0.001,1000,10,20e5,50,1,5
5,-28,40,1.0,60,60,0.001,1000,10,20e5,50,1,1
5,-28,40,1.0,60,60,0.001,1000,10,20e5,50,1,2
5,-28,40,1.0,60,60,0.001,1000,10,20e5,50,1,3
5,-28,40,1.0,60,60,0.001,1000,10,20e5,50,1,4
5,-28,40,1.0,60,60,0.001,1000,10,20e5,50,1,5
5,-28,40,2.0,60,60,0.001,1000,10,20e5,50,1,1
5,-28,40,2.0,60,60,0.001,1000,10,20e5,50,1,2
5,-28,40,2.0,60,60,0.001,1000,10,20e5,50,1,3
5,-28,40,2.0,60,60,0.001,1000,10,20e5,50,1,4
5,-28,40,2.0,60,60,0.001,1000,10,20e5,50,1,5
5,-28,40,3.0,60,60,0.001,1000,10,20e5,50,1,1
5,-28,40,3.0,60,60,0.001,1000,10,20e5,50,1,2
5,-28,40,3.0,60,60,0.001,1000,10,20e5,50,1,3
5,-28,40,3.0,60,60,0.001,1000,10,20e5,50,1,4
5,-28,40,3.0,60,60,0.001,1000,10,20e5,50,1,5
5,-28,40,4.5,60,60,0.001,1000,10,20e5,50,1,1
5,-28,40,4.5,60,60,0.001,1000,10,20e5,50,1,2
5,-28,40,4.5,60,60,0.001,1000,10,20e5,50,1,3
5,-28,40,4.5,60,60,0.001,1000,10,20e5,50,1,4
5,-28,40,4.5,60,60,0.001,1000,10,20e5,50,1,5
5,-28,40,9.0,60,60,0.001,1000,10,20e5,50,1,1
5,-28,40,9.0,60,60,0.001,1000,10,20e5,50,1,2
5,-28,40,9.0,60,60,0.001,1000,10,20e5,50,1,3
5,-28,40,9.0,60,60,0.001,1000,10,20e5,50,1,4
5,-28,40,9.0,60,60,0.001,1000,10,20e5,50,1,5
5,-23,40,4.5,60,60,0.001,1000,10,20e5,50,1,1
5,-23,40,4.5,60,60,0.001,1000,10,20e5,50,1,2
5,-23,40,4.5,60,60,0.001,1000,10,20e5,50,1,3
5,-23,40,4.5,60,60,0.001,1000,10,20e5,50,1,4
5,-23,40,4.5,60,60,0.001,1000,10,20e5,50,1,5
5,-25,40,4.5,60,60,0.001,1000,10,20e5,50,1,1
5,-25,40,4.5,60,60,0.001,1000,10,20e5,50,1,2
5,-25,40,4.5,60,60,0.001,1000,10,20e5,50,1,3
5,-25,40,4.5,60,60,0.001,1000,10,20e5,50,1,4
5,-25,40,4.5,60,60,0.001,1000,10,20e5,50,1,5
5,-30,40,4.5,60,60,0.001,1000,10,20e5,50,1,1
5,-30,40,4.5,60,60,0.001,1000,10,20e5,50,1,2
5,-30,40,4.5,60,60,0.001,1000,10,20e5,50,1,3
5,-30,40,4.5,60,60,0.001,1000,10,20e5,50,1,4
5,-30,40,4.5,60,60,0.001,1000,10,20e5,50,1,5
1,-100,40,4.5,60,60,0.01,50,5,20e5,50,1,1
1,-100,40,4.5,60,60,0.01,50,5,20e5,50,1,2
1,-100,40,4.5,60,60,0.01,50,5,20e5,50,1,3
1,-100,40,4.5,60,60,0.01,50,5,20e5,50,1,4
1,-100,40,4.5,60,60,0.01,50,5,20e5,50,1,5
1,-75,40,4.5,60,60,0.01,50,5,20e5,50,1,1
1,-75,40,4.5,60,60,0.01,50,5,20e5,50,1,2
1,-75,40,4.5,60,60,0.01,50,5,20e5,50,1,3
1,-75,40,4.5,60,60,0.01,50,5,20e5,50,1,4
1,-75,40,4.5,60,60,0.01,50,5,20e5,50,1,5
1,-45,40,4.5,60,60,0.01,50,5,20e5,50,1,1
1,-45,40,4.5,60,60,0.01,50,5,20e5,50,1,2
1,-45,40,4.5,60,60,0.01,50,5,20e5,50,1,3
1,-45,40,4.5,60,60,0.01,50,5,20e5,50,1,4
1,-45,40,4.5,60,60,0.01,50,5,20e5,50,1,5
1,-50,40,4.5,60,60,0.01,50,5,20e5,50,1,1
1,-50,40,4.5,60,60,0.01,50,5,20e5,50,1,2
1,-50,40,4.5,60,60,0.01,50,5,20e5,50,1,3
1,-50,40,4.5,60,60,0.01,50,5,20e5,50,1,4
1,-50,40,4.5,60,60,0.01,50,5,20e5,50,1,5
1,-50,40,0.5,60,60,0.01,50,5,20e5,50,1,1
1,-50,40,0.5,60,60,0.01,50,5,20e5,50,1,2
1,-50,40,0.5,60,60,0.01,50,5,20e5,50,1,3
1,-50,40,0.5,60,60,0.01,50,5,20e5,50,1,4
1,-50,40,0.5,60,60,0.01,50,5,20e5,50,1,5
1,-50,40,1.0,60,60,0.01,50,5,20e5,50,1,1
1,-50,40,1.0,60,60,0.01,50,5,20e5,50,1,2
1,-50,40,1.0,60,60,0.01,50,5,20e5,50,1,3
1,-50,40,1.0,60,60,0.01,50,5,20e5,50,1,4
1,-50,40,1.0,60,60,0.01,50,5,20e5,50,1,5
1,-50,40,2.0,60,60,0.01,50,5,20e5,50,1,1
1,-50,40,2.0,60,60,0.01,50,5,20e5,50,1,2
1,-50,40,2.0,60,60,0.01,50,5,20e5,50,1,3
1,-50,40,2.0,60,60,0.01,50,5,20e5,50,1,4
1,-50,40,2.0,60,60,0.01,50,5,20e5,50,1,5
1,-50,40,3.0,60,60,0.01,50,5,20e5,50,1,1
1,-50,40,3.0,60,60,0.01,50,5,20e5,50,1,2
1,-50,40,3.0,60,60,0.01,50,5,20e5,50,1,3
1,-50,40,3.0,60,60,0.01,50,5,20e5,50,1,4
1,-50,40,3.0,60,60,0.01,50,5,20e5,50,1,5
1,-50,40,9.0,60,60,0.01,50,5,20e5,50,1,1
1,-50,40,9.0,60,60,0.01,50,5,20e5,50,1,2
1,-50,40,9.0,60,60,0.01,50,5,20e5,50,1,3
