1,30,5,30,-50,-28,-21,40,60,60,32e5,100,1,1
1,30,5,30,-50,-28,-21,40,60,60,32e5,100,1,2
1,30,5,30,-50,-28,-21,40,60,60,32e5,100,1,3
1,30,5,30,-50,-28,-21,40,60,60,32e5,100,1,4
1,30,5,30,-50,-28,-21,40,60,60,32e5,100,1,5
1,30,5,30,-70,-28,-21,40,60,60,32e5,100,1,1
1,30,5,30,-70,-28,-21,40,60,60,32e5,100,1,2
1,30,5,30,-70,-28,-21,40,60,60,32e5,100,1,3
1,30,5,30,-70,-28,-21,40,60,60,32e5,100,1,4
1,30,5,30,-70,-28,-21,40,60,60,32e5,100,1,5
1,30,5,30,-100,-28,-21,40,60,60,32e5,100,1,1
1,30,5,30,-100,-28,-21,40,60,60,32e5,100,1,2
1,30,5,30,-100,-28,-21,40,60,60,32e5,100,1,3
1,30,5,30,-100,-28,-21,40,60,60,32e5,100,1,4
1,30,5,30,-100,-28,-21,40,60,60,32e5,100,1,5
1,30,5,30,-45,-28,-21,40,60,60,32e5,100,1,1
1,30,5,30,-45,-28,-21,40,60,60,32e5,100,1,2
1,30,5,30,-45,-28,-21,40,60,60,32e5,100,1,3
1,30,5,30,-45,-28,-21,40,60,60,32e5,100,1,4
1,30,5,30,-45,-28,-21,40,60,60,32e5,100,1,5
1,30,5,30,-40,-28,-21,40,60,60,32e5,100,1,1
1,30,5,30,-40,-28,-21,40,60,60,32e5,100,1,2
1,30,5,30,-40,-28,-21,40,60,60,32e5,100,1,3
1,30,5,30,-40,-28,-21,40,60,60,32e5,100,1,4
1,30,5,30,-40,-28,-21,40,60,60,32e5,100,1,5
1,30,5,30,-50,-23,-21,40,60,60,32e5,100,1,1
1,30,5,30,-50,-23,-21,40,60,60,32e5,100,1,2
1,30,5,30,-50,-23,-21,40,60,60,32e5,100,1,3
1,30,5,30,-50,-23,-21,40,60,60,32e5,100,1,4
1,30,5,30,-50,-23,-21,40,60,60,32e5,100,1,5
1,30,5,30,-50,-25,-21,40,60,60,32e5,100,1,1
1,30,5,30,-50,-25,-21,40,60,60,32e5,100,1,2
1,30,5,30,-50,-25,-21,40,60,60,32e5,100,1,3
1,30,5,30,-50,-25,-21,40,60,60,32e5,100,1,4
1,30,5,30,-50,-25,-21,40,60,60,32e5,100,1,5
1,30,5,30,-50,-30,-21,40,60,60,32e5,100,1,1
1,30,5,30,-50,-30,-21,40,60,60,32e5,100,1,2
1,30,5,30,-50,-30,-21,40,60,60,32e5,100,1,3
1,30,5,30,-50,-30,-21,40,60,60,32e5,100,1,4
1,30,5,30,-50,-30,-21,40,60,60,32e5,100,1,5
1,30,5,30,-50,-35,-21,40,60,60,32e5,100,1,1
1,30,5,30,-50,-35,-21,40,60,60,32e5,100,1,2
1,30,5,30,-50,-35,-21,40,60,60,32e5,100,1,3
1,30,5,30,-50,-35,-21,40,60,60,32e5,100,1,4
1,30,5,30,-50,-35,-21,40,60,60,32e5,100,1,5
1,30,5,30,-50,-35,-23,40,60,60,32e5,100,1,1
1,30,5,30,-50,-35,-23,40,60,60,32e5,100,1,2
1,30,5,30,-50,-35,-23,40,60,60,32e5,100,1,3
1,30,5,30,-50,-35,-23,40,60,60,32e5,100,1,4
1,30,5,30,-50,-35,-23,40,60,60,32e5,100,1,5
1,30,5,30,-43,-28,-18,40,60,60,32e5,100,1,1
1,30,5,30,-43,-28,-18,40,60,60,32e5,100,1,2
1,30,5,30,-43,-28,-18,40,60,60,32e5,100,1,3
1,30,5,30,-43,-28,-18,40,60,60,32e5,100,1,4
1,30,5,30,-43,-28,-18,40,60,60,32e5,100,1,5
1,30,5,30,-43,-28,-15,40,60,60,32e5,100,1,1
1,30,5,30,-43,-28,-15,40,60,60,32e5,100,1,2
1,30,5,30,-43,-28,-15,40,60,60,32e5,100,1,3
1,30,5,30,-43,-28,-15,40,60,60,32e5,100,1,4
1,30,5,30,-43,-28,-15,40,60,60,32e5,100,1,5
1,30,5,30,-50,-33,-22,40,60,60,32e5,100,1,1
1,30,5,30,-50,-33,-22,40,60,60,32e5,100,1,2
1,30,5,30,-50,-33,-22,40,60,60,32e5,100,1,3
1,30,5,30,-50,-33,-22,40,60,60,32e5,100,1,4
1,30,5,30,-50,-33,-22,40,60,60,32e5,100,1,5
1,30,5,30,-50,-33,-21,40,60,60,32e5,100,1,1
1,30,5,30,-50,-33,-21,40,60,60,32e5,100,1,2
1,30,5,30,-50,-33,-21,40,60,60,32e5,100,1,3
1,30,5,30,-50,-33,-21,40,60,60,32e5,100,1,4
1,30,5,30,-50,-33,-21,40,60,60,32e5,100,1,5
1,30,5,30,-50,-33,-21.5,40,60,60,32e5,100,1,1
1,30,5,30,-50,-33,-21.5,40,60,60,32e5,100,1,2
1,30,5,30,-50,-33,-21.5,40,60,60,32e5,100,1,3
1,30,5,30,-50,-33,-21.5,40,60,60,32e5,100,1,4
1,30,5,30,-50,-33,-21.5,40,60,60,32e5,100,1,5
1,30,5,30,-50,-32,-21.5,40,60,60,32e5,100,1,1
1,30,5,30,-50,-32,-21.5,40,60,60,32e5,100,1,2
1,30,5,30,-50,-32,-21.5,40,60,60,32e5,100,1,3
1,30,5,30,-50,-32,-21.5,40,60,60,32e5,100,1,4
1,30,5,30,-50,-32,-21.5,40,60,60,32e5,100,1,5
1,30,5,30,-50,-32.5,-21.5,40,60,60,32e5,100,1,1
1,30,5,30,-50,-32.5,-21.5,40,60,60,32e5,100,1,2
1,30,5,30,-50,-32.5,-21.5,40,60,60,32e5,100,1,3
1,30,5,30,-50,-32.5,-21.5,40,60,60,32e5,100,1,4
1,30,5,30,-50,-32.5,-21.5,40,60,60,32e5,100,1,5
1,30,5,30,-51,-32.5,-21.5,40,60,60,32e5,100,1,1
1,30,5,30,-52,-32.5,-21.5,40,60,60,32e5,100,1,1
1,30,5,30,-53,-32.5,-21.5,40,60,60,32e5,100,1,1
1,30,5,30,-54,-32.5,-21.5,40,60,60,32e5,100,1,1
1,30,5,30,-51,-32.5,-21,40,60,60,32e5,100,1,1
1,30,5,30,-52,-32.5,-21,40,60,60,32e5,100,1,1
1,30,5,30,-53,-32.5,-21,40,60,60,32e5,100,1,1
1,30,5,30,-54,-32.5,-21,40,60,60,32e5,100,1,1
1,30,5,30,-51,-32.5,-20,40,60,60,32e5,100,1,1
1,30,5,30,-52,-32.5,-20,40,60,60,32e5,100,1,1
1,30,5,30,-53,-32.5,-20,40,60,60,32e5,100,1,1
1,30,5,30,-54,-32.5,-20,40,60,60,32e5,100,1,1
1,30,5,30,-51,-32.5,-20.5,40,60,60,32e5,100,1,1
1,30,5,30,-52,-32.5,-20.5,40,60,60,32e5,100,1,1
1,30,5,30,-53,-32.5,-20.5,40,60,60,32e5,100,1,1
1,30,5,30,-54,-32.5,-20.5,40,60,60,32e5,100,1,1
1,30,5,30,-53,-32.5,-20,40,60,60,32e5,100,1,2
1,30,5,30,-53,-32.5,-20,40,60,60,32e5,100,1,3
1,30,5,30,-53,-32.5,-20,40,60,60,32e5,100,1,4
1,30,5,30,-53,-32.5,-20,40,60,60,32e5,100,1,5
1,30,5,0.5,-50,-28,-21,40,60,60,32e5,100,1,1
1,30,5,0.5,-50,-28,-21,40,60,60,32e5,100,1,2
1,30,5,0.5,-50,-28,-21,40,60,60,32e5,100,1,3
1,30,5,0.5,-50,-28,-21,40,60,60,32e5,100,1,4
1,30,5,0.5,-50,-28,-21,40,60,60,32e5,100,1,5
1,30,5,1,-50,-28,-21,40,60,60,32e5,100,1,1
1,30,5,1,-50,-28,-21,40,60,60,32e5,100,1,2
1,30,5,1,-50,-28,-21,40,60,60,32e5,100,1,3
1,30,5,1,-50,-28,-21,40,60,60,32e5,100,1,4
1,30,5,1,-50,-28,-21,40,60,60,32e5,100,1,5
1,30,5,1.5,-50,-28,-21,40,60,60,32e5,100,1,1
1,30,5,1.5,-50,-28,-21,40,60,60,32e5,100,1,2
1,30,5,1.5,-50,-28,-21,40,60,60,32e5,100,1,3
1,30,5,1.5,-50,-28,-21,40,60,60,32e5,100,1,4
1,30,5,1.5,-50,-28,-21,40,60,60,32e5,100,1,5
1,30,5,2,-50,-28,-21,40,60,60,32e5,100,1,1
1,30,5,2,-50,-28,-21,40,60,60,32e5,100,1,2
1,30,5,2,-50,-28,-21,40,60,60,32e5,100,1,3
1,30,5,2,-50,-28,-21,40,60,60,32e5,100,1,4
1,30,5,2,-50,-28,-21,40,60,60,32e5,100,1,5
1,30,5,2.5,-50,-28,-21,40,60,60,32e5,100,1,1
