1,30,5,30,-50,-28,-21,40,60,60,64e5,200,1,1
1,30,5,30,-50,-28,-21,40,60,60,64e5,200,1,2
1,30,5,30,-50,-28,-21,40,60,60,64e5,200,1,3
1,30,5,30,-50,-28,-21,40,60,60,64e5,200,1,4
1,30,5,30,-50,-28,-21,40,60,60,64e5,200,1,5
1,30,5,30,-50,-32.5,-21.5,40,60,60,64e5,200,1,1
1,30,5,30,-50,-32.5,-21.5,40,60,60,64e5,200,1,2
1,30,5,30,-50,-32.5,-21.5,40,60,60,64e5,200,1,3
1,30,5,30,-50,-32.5,-21.5,40,60,60,64e5,200,1,4
1,30,5,30,-50,-32.5,-21.5,40,60,60,64e5,200,1,5
1,30,5,30,-53,-32.5,-20,40,60,60,64e5,200,1,1
1,30,5,30,-53,-32.5,-20,40,60,60,64e5,200,1,2
1,30,5,30,-53,-32.5,-20,40,60,60,64e5,200,1,3
1,30,5,30,-53,-32.5,-20,40,60,60,64e5,200,1,4
1,30,5,30,-53,-32.5,-20,40,60,60,64e5,200,1,5
