50,100,100,2,-28,40,1e5,50,1,1
50,100,100,2,-28,40,1e5,50,0,1
50,100,100,2,-28,40,1e5,50,0,2
50,100,100,2,-28,40,1e5,50,0,3
50,100,100,2,-28,40,1e5,50,0,4
50,100,100,2,-28,40,1e5,50,0,5
50,100,100,2,-28,40,1e5,50,0,6
50,100,100,2,-28,40,1e5,50,0,7
50,100,100,2,-28,40,1e5,50,0,8
50,100,100,2,-28,40,1e5,50,0,9
50,100,100,2,-28,40,1e5,50,0,10
50,120,120,2,-28,40,5e5,50,0,1
50,120,120,2,-28,40,5e5,50,0,2
50,120,120,2,-28,40,5e5,50,0,3
50,120,120,2,-28,40,5e5,50,0,4
50,120,120,2,-28,40,5e5,50,0,5
50,100,100,2,-28,40,10e5,50,1,1000
50,30,30,2,-28,40,1e5,50,0,1
50,120,120,2,-32.5,40,5e5,50,0,1
50,120,120,2,-32.5,40,5e5,50,0,2
50,120,120,2,-32.5,40,5e5,50,0,3
50,120,120,2,-32.5,40,5e5,50,0,4
50,120,120,2,-32.5,40,5e5,50,0,5
50,120,20,2,-32.5,40,5e5,50,0,1
50,120,20,2,-32.5,40,5e5,50,0,2
50,120,20,2,-32.5,40,5e5,50,0,3
50,120,20,2,-32.5,40,5e5,50,0,4
50,120,20,2,-32.5,40,5e5,50,0,5
50,120,40,2,-32.5,40,5e5,50,0,1
50,120,40,2,-32.5,40,5e5,50,0,2
50,120,40,2,-32.5,40,5e5,50,0,3
50,120,40,2,-32.5,40,5e5,50,0,4
50,120,40,2,-32.5,40,5e5,50,0,5
50,120,50,2,-32.5,40,5e5,50,0,1
50,120,50,2,-32.5,40,5e5,50,0,2
50,120,50,2,-32.5,40,5e5,50,0,3
50,120,50,2,-32.5,40,5e5,50,0,4
50,120,50,2,-32.5,40,5e5,50,0,5
