40,50,120,120,2,80000,5,-32.5,-53,-20,40,96e5,100,1,1
40,50,120,120,2,80000,5,-32.5,-53,-20,40,96e5,100,1,2
40,50,120,120,2,80000,5,-32.5,-53,-20,40,96e5,100,1,3
40,50,120,120,2,80000,5,-32.5,-53,-20,40,96e5,100,1,4
40,50,120,120,2,80000,5,-32.5,-53,-20,40,96e5,100,1,5
40,50,120,120,2,100000,5,-32.5,-53,-20,40,96e5,100,1,1
40,50,120,120,2,100000,5,-32.5,-53,-20,40,96e5,100,1,2
40,50,120,120,2,100000,5,-32.5,-53,-20,40,96e5,100,1,3
40,50,120,120,2,100000,5,-32.5,-53,-20,40,96e5,100,1,4
40,50,120,120,2,100000,5,-32.5,-53,-20,40,96e5,100,1,5
40,50,120,120,2,150000,5,-32.5,-53,-20,40,96e5,100,1,1
40,50,120,120,2,150000,5,-32.5,-53,-20,40,96e5,100,1,2
40,50,120,120,2,150000,5,-32.5,-53,-20,40,96e5,100,1,3
40,50,120,120,2,150000,5,-32.5,-53,-20,40,96e5,100,1,4
40,50,120,120,2,150000,5,-32.5,-53,-20,40,96e5,100,1,5
40,50,120,120,2,250000,5,-32.5,-53,-20,40,96e5,100,1,1
40,50,120,120,2,250000,5,-32.5,-53,-20,40,96e5,100,1,2
40,50,120,120,2,250000,5,-32.5,-53,-20,40,96e5,100,1,3
40,50,120,120,2,250000,5,-32.5,-53,-20,40,96e5,100,1,4
40,50,120,120,2,250000,5,-32.5,-53,-20,40,96e5,100,1,5
40,50,120,120,2,350000,5,-32.5,-53,-20,40,96e5,100,1,1
40,50,120,120,2,350000,5,-32.5,-53,-20,40,96e5,100,1,2
40,50,120,120,2,350000,5,-32.5,-53,-20,40,96e5,100,1,3
40,50,120,120,2,350000,5,-32.5,-53,-20,40,96e5,100,1,4
40,50,120,120,2,350000,5,-32.5,-53,-20,40,96e5,100,1,5
40,50,120,120,2,500000,5,-32.5,-53,-20,40,96e5,100,1,1
40,50,120,120,2,500000,5,-32.5,-53,-20,40,96e5,100,1,2
40,50,120,120,2,500000,5,-32.5,-53,-20,40,96e5,100,1,3
40,50,120,120,2,500000,5,-32.5,-53,-20,40,96e5,100,1,4
40,50,120,120,2,500000,5,-32.5,-53,-20,40,96e5,100,1,5
40,50,120,120,2,700000,5,-32.5,-53,-20,40,96e5,100,1,1
40,50,120,120,2,700000,5,-32.5,-53,-20,40,96e5,100,1,2
40,50,120,120,2,700000,5,-32.5,-53,-20,40,96e5,100,1,3
40,50,120,120,2,700000,5,-32.5,-53,-20,40,96e5,100,1,4
40,50,120,120,2,700000,5,-32.5,-53,-20,40,96e5,100,1,5
40,50,120,120,2,80000,5,-32.5,-50,-21.5,40,96e5,100,1,1
40,50,120,120,2,80000,5,-32.5,-50,-21.5,40,96e5,100,1,2
40,50,120,120,2,80000,5,-32.5,-50,-21.5,40,96e5,100,1,3
40,50,120,120,2,80000,5,-32.5,-50,-21.5,40,96e5,100,1,4
40,50,120,120,2,80000,5,-32.5,-50,-21.5,40,96e5,100,1,5
40,50,120,120,2,100000,5,-32.5,-50,-21.5,40,96e5,100,1,1
40,50,120,120,2,100000,5,-32.5,-50,-21.5,40,96e5,100,1,2
40,50,120,120,2,100000,5,-32.5,-50,-21.5,40,96e5,100,1,3
