860000,1,-50,40,60,60,4.0,32e5,50,0
860000,1,-70,40,60,60,4.9,32e5,50,0
860000,1,-100,40,60,60,5.1,32e5,50,0
125000,5,-28,40,60,60,2.7,32e5,50,0
31250,20,-28,40,60,60,2.7,32e5,50,0
860000,1,-45,40,60,60,3.8,32e5,50,0
860000,1,-40,40,60,60,3.6,32e5,50,0
125000,5,-23,40,60,60,2.3,32e5,50,0
125000,5,-25,40,60,60,2.7,32e5,50,0
125000,5,-30,40,60,60,3.2,32e5,50,0
2000000,1,-50,40,100,100,4.0,32e5,50,0
860000,1,-43,40,60,60,3.7,32e5,50,0
125000,5,-35,40,60,60,3.5,32e5,50,0
125000,5,-33,40,60,60,3.5,32e5,50,0
700000,5,-32.5,40,240,240,3.5,32e5,50,0
1750000,2,-32.5,40,240,240,3.5,32e5,50,0
860000,1,-51,40,60,60,4.0,32e5,50,0
860000,1,-52,40,60,60,4.0,32e5,50,0
860000,1,-53,40,60,60,4.0,32e5,50,0
860000,1,-54,40,60,60,4.0,32e5,50,0
2100000,1,-53,40,100,100,4.0,32e5,50,0
120000,5,-28,40,240,40,2.7,32e5,50,0
235000,5,-28,40,240,80,2.7,32e5,50,0
290000,5,-28,40,240,100,2.7,32e5,50,0
700000,5,-28,40,240,240,2.7,32e5,50,0
860000,1,-45,40,60,60,3.8,32e5,50,0
860000,1,-50,40,60,60,4.0,32e5,50,0
1000000,1,-75,40,60,60,5.2,32e5,50,0
1000000,1,-100,40,60,60,5.5,32e5,50,0
125000,5,-23,40,60,60,2.3,32e5,50,0
125000,5,-25,40,60,60,2.7,32e5,50,0
125000,5,-28,40,60,60,2.7,32e5,50,0
125000,5,-30,40,60,60,3.2,32e5,50,0
125000,5,-33,40,60,60,3.5,32e5,50,0
